Generation,Loss,Runtime
0,0.35514784519076126,0.003631591796875
0,0.34254568124044127,0.004149675369262695
0,0.3405151794272562,0.004149675369262695
0,0.35876897824862686,0.0046842098236083984
0,0.3591375518763308,0.0046842098236083984
0,0.3587609054171643,0.005201101303100586
0,0.31178689742808974,0.005201101303100586
0,0.33192515698986536,0.005201101303100586
0,0.35943444974860117,0.005201101303100586
0,0.3381161620533341,0.005771636962890625
0,0.3362660012401557,0.005771636962890625
0,0.3620146181582041,0.005771636962890625
0,0.3530488352632547,0.006275653839111328
0,0.3357967893860629,0.006275653839111328
0,0.34092499315332514,0.0067958831787109375
0,0.33617630939053755,0.0067958831787109375
0,0.34285262644120307,0.007315874099731445
0,0.3432164264889467,0.007315874099731445
0,0.3428368432344735,0.007725238800048828
0,0.32794736145839354,0.007725238800048828
1,0.35876897824862686,0.011846065521240234
1,0.35790695801899786,0.011846065521240234
1,0.33195007221234873,0.012364625930786133
1,0.3381161620533341,0.012364625930786133
1,0.3377437438363677,0.012364625930786133
1,0.34779181273967863,0.01288294792175293
1,0.35943444974860117,0.01288294792175293
1,0.3580257553998229,0.01288294792175293
1,0.3315542706960859,0.013403177261352539
1,0.3357967893860629,0.013403177261352539
1,0.32836455500614536,0.013403177261352539
1,0.33192515698986536,0.013922929763793945
1,0.3199595291490595,0.013922929763793945
1,0.32794736145839354,0.013922929763793945
1,0.3365388407861049,0.014441251754760742
1,0.33192515698986536,0.014441251754760742
1,0.32810000371820625,0.014441251754760742
1,0.3382046969278234,0.014961481094360352
1,0.3329209740331778,0.015484094619750977
1,0.34092499315332514,0.016012191772460938
2,0.3199595291490595,0.020204782485961914
2,0.3387685107837942,0.020204782485961914
2,0.342807152762888,0.020204782485961914
2,0.3256654224042511,0.02072453498840332
2,0.3377437438363677,0.02072453498840332
2,0.32810000371820625,0.02072453498840332
2,0.32883383280601153,0.02072453498840332
2,0.3504267401902653,0.0212860107421875
2,0.35876897824862686,0.021790504455566406
2,0.36263034585804715,0.021790504455566406
2,0.31674972709827776,0.021790504455566406
2,0.3315542706960859,0.022325992584228516
2,0.33195007221234873,0.022325992584228516
2,0.34368233075205357,0.0228579044342041
2,0.3362270404136246,0.0228579044342041
2,0.3427080531178107,0.0228579044342041
2,0.33128158255903295,0.02337479591369629
2,0.3348569171870976,0.02337479591369629
2,0.33192515698986536,0.02337479591369629
2,0.33192515698986536,0.02337479591369629
3,0.3199595291490595,0.02837824821472168
